,date,contest_num,word,n_reported,n_hard,try_1,try_2,try_3,try_4,try_5,try_6,try_x,hard/reported%,date_num
234,2022-05-11,326,farce,79446,5688,0,9,26,32,21,9,1,7.1595800921380555,0
233,2022-05-12,327,slung,75673,5419,0,2,16,37,31,13,2,7.16107462370991,1
232,2022-05-13,328,tipsy,77585,5522,0,6,33,38,17,5,1,7.117355158858027,2
231,2022-05-14,329,metal,73225,5290,1,10,31,34,18,7,1,7.224308637760328,3
230,2022-05-15,330,yield,67115,4963,0,4,16,29,29,18,4,7.394770170602697,4
229,2022-05-16,331,delve,68349,5179,0,2,14,32,33,16,2,7.577287158553893,5
228,2022-05-17,332,being,70722,5142,0,4,22,37,26,10,1,7.270721981844405,6
227,2022-05-18,333,scour,73933,5544,0,8,34,35,17,5,1,7.498681238418568,7
226,2022-05-19,334,glass,70920,5162,0,4,19,33,27,14,3,7.278623801466441,8
225,2022-05-20,335,gamer,69884,5238,1,4,17,28,26,18,6,7.495277889073322,9
224,2022-05-21,336,scrap,66814,4973,1,9,28,34,20,8,1,7.443050857604694,10
223,2022-05-22,337,money,67909,4928,1,7,26,36,21,8,1,7.256770089384323,11
222,2022-05-23,338,hinge,66431,4906,0,5,25,37,22,9,2,7.385106350950609,12
221,2022-05-24,339,album,63380,4809,0,5,26,35,24,9,1,7.587567055853582,13
220,2022-05-25,340,vouch,62723,4835,0,2,9,25,33,24,6,7.708496085965276,14
219,2022-05-26,341,asset,63188,4733,0,7,28,34,21,8,1,7.490346268278787,15
218,2022-05-27,342,tiara,63846,4842,0,8,36,33,17,6,1,7.583873696081195,16
217,2022-05-28,343,crept,60069,4562,0,4,27,38,22,7,1,7.594599543857897,17
216,2022-05-29,344,bayou,56839,4435,0,6,17,33,29,13,2,7.802741075669875,18
215,2022-05-30,345,atoll,60969,4741,0,6,28,36,21,8,1,7.776082927389329,19
214,2022-05-31,346,manor,62768,4802,0,6,27,34,21,10,2,7.650395105786388,20
213,2022-06-01,347,creak,63241,4797,0,5,21,32,25,14,3,7.585269050141521,21
212,2022-06-02,348,showy,61278,4770,0,2,16,37,30,13,2,7.7841966121609705,22
211,2022-06-03,349,peach,65431,4957,1,13,38,32,13,3,0,7.57591967110391,23
210,2022-06-04,350,froth,58263,4432,0,5,22,35,25,11,1,7.606886016854608,24
209,2022-06-05,351,depth,56738,4329,0,6,28,39,20,6,1,7.629807183897917,25
208,2022-06-06,352,gloom,58478,4548,0,2,14,35,35,13,1,7.777283764834639,26
207,2022-06-07,353,flood,58991,4440,0,3,20,40,28,8,1,7.5265718499432115,27
206,2022-06-08,354,trait,61026,4607,0,6,22,35,24,11,2,7.549241306983909,28
205,2022-06-09,355,girth,60020,4665,0,6,23,33,23,12,3,7.772409196934356,29
204,2022-06-10,356,piety,55376,4324,0,4,25,41,22,7,1,7.808436867957237,30
203,2022-06-11,357,goose,51958,4087,0,2,12,28,32,21,5,7.86596866700027,31
202,2022-06-12,358,float,56684,4323,1,12,30,32,18,6,1,7.626490720485498,32
201,2022-06-13,359,donor,53802,4142,0,3,27,38,23,7,1,7.698598565109103,33
200,2022-06-14,360,atone,59968,4762,2,16,34,29,14,4,1,7.94090181430096,34
199,2022-06-15,361,primo,55989,4391,0,3,22,38,25,10,2,7.842611941631391,35
198,2022-06-16,362,apron,53430,4112,0,7,30,38,19,5,1,7.69605090772974,36
197,2022-06-17,363,blown,54665,4251,0,6,23,35,26,10,1,7.776456599286563,37
196,2022-06-18,364,cacao,47205,4101,0,1,9,27,36,23,4,8.687639021290119,38
195,2022-06-19,365,loser,55359,4399,1,10,28,32,19,8,2,7.946314059141242,39
194,2022-06-20,366,input,50484,3950,0,5,30,38,21,6,1,7.824261152048173,40
193,2022-06-21,367,gloat,53342,4194,0,8,21,31,26,12,2,7.86247234824341,41
192,2022-06-22,368,awful,47645,3861,0,5,21,33,27,12,2,8.10368349249659,42
191,2022-06-23,369,brink,53111,4118,0,4,22,41,24,7,1,7.7535727062190505,43
190,2022-06-24,370,smite,50617,3991,0,6,23,35,24,11,2,7.884702767844795,44
189,2022-06-25,371,beady,46089,3670,0,3,19,39,29,10,1,7.962854477207143,45
188,2022-06-26,372,rusty,50450,3954,0,9,37,34,13,5,1,7.837462834489593,46
187,2022-06-27,373,retro,47986,3848,0,6,24,35,24,9,1,8.019005543283457,47
186,2022-06-28,374,droll,47312,3844,0,2,16,31,31,17,3,8.124788637132228,48
185,2022-06-29,375,gawky,45645,3957,0,1,5,22,33,28,10,8.669076569175155,49
184,2022-06-30,376,hutch,44212,3758,0,1,12,28,28,21,9,8.499954763412648,50
183,2022-07-01,377,pinto,47248,3792,0,5,25,41,22,6,1,8.025736539112767,51
182,2022-07-02,378,egret,41765,3515,0,3,14,33,33,15,2,8.416137914521729,52
181,2022-07-03,379,lilac,40486,3461,0,2,17,38,29,12,1,8.548634095736798,53
180,2022-07-04,380,sever,42645,3591,0,2,13,27,29,21,7,8.42068237776996,54
179,2022-07-05,381,field,44578,3604,1,6,25,36,23,9,1,8.084705460092422,55
178,2022-07-06,382,fluff,47344,4049,0,0,4,25,44,23,4,8.552298073673539,56
177,2022-07-07,383,agape,43407,3671,0,2,18,36,27,15,3,8.457161287349967,57
176,2022-07-08,384,voice,42806,3484,1,5,24,35,25,9,1,8.139045928140915,58
175,2022-07-09,385,stead,47094,3933,1,6,20,27,28,16,3,8.35138234169958,59
174,2022-07-10,386,berth,41785,3494,0,7,24,35,24,9,1,8.361852339356227,60
173,2022-07-11,387,madam,40545,3430,0,3,13,35,34,14,2,8.45973609569614,61
172,2022-07-12,388,night,46910,3870,1,8,27,27,17,13,7,8.24984011937753,62
171,2022-07-13,389,bland,46246,3727,0,7,31,38,18,4,0,8.059075379492281,63
170,2022-07-14,390,liver,40549,3388,0,4,16,26,25,20,8,8.355323189227848,64
169,2022-07-15,391,wedge,39234,3353,0,2,11,32,37,17,2,8.546158943773257,65
168,2022-07-16,392,roomy,38769,3280,0,2,17,41,28,10,2,8.46036781964972,66
167,2022-07-17,393,wacky,39611,3345,0,3,18,39,27,10,2,8.444623968089672,67
166,2022-07-18,394,flock,42574,3548,0,4,22,37,27,9,1,8.33372480856861,68
165,2022-07-19,395,angry,39667,3358,0,5,27,38,21,7,1,8.465475080041344,69
164,2022-07-20,396,trite,42237,3685,0,4,14,22,22,23,15,8.724577976655539,70
163,2022-07-21,397,aphid,39086,3367,0,6,24,36,23,9,2,8.614337614491122,71
162,2022-07-22,398,tryst,43099,3665,0,3,26,41,23,6,1,8.503677579526208,72
161,2022-07-23,399,midge,36769,3111,0,2,18,39,28,10,2,8.460931763170061,73
160,2022-07-24,400,power,39813,3401,2,6,19,29,24,15,4,8.54243588777535,74
159,2022-07-25,401,elope,39228,3339,0,4,22,32,26,13,2,8.511777301927195,75
158,2022-07-26,402,cinch,39171,3507,0,2,15,24,22,25,13,8.953052002757142,76
157,2022-07-27,403,motto,38384,3285,0,1,11,36,36,14,1,8.558253438932889,77
156,2022-07-28,404,stomp,40650,3490,0,7,26,32,21,11,2,8.585485854858549,78
155,2022-07-29,405,upset,37791,3213,0,5,30,38,20,6,1,8.502024291497975,79
154,2022-07-30,406,bluff,37353,3171,0,2,14,42,31,10,1,8.489277969640993,80
153,2022-07-31,407,cramp,39250,3369,1,8,26,33,19,10,2,8.58343949044586,81
152,2022-08-01,408,quart,36662,3303,0,5,20,33,27,13,2,9.009328459985817,82
151,2022-08-02,409,coyly,34909,3380,0,0,4,17,28,35,15,9.682316881033543,83
150,2022-08-03,410,youth,38381,3327,1,5,17,31,29,15,3,8.66835152809984,84
149,2022-08-04,411,rhyme,37229,3336,0,4,22,39,25,8,1,8.960756399580971,85
148,2022-08-05,412,buggy,37350,3428,0,1,9,29,34,22,5,9.178045515394913,86
147,2022-08-06,413,alien,38841,3395,3,17,31,29,15,4,0,8.74076362606524,87
146,2022-08-07,414,smear,36223,3190,0,2,16,39,29,12,2,8.80655936835712,88
145,2022-08-08,415,unfit,35516,3187,0,3,24,38,25,9,1,8.973420430228629,89
144,2022-08-09,416,patty,36223,3019,0,2,16,39,29,12,1,8.334483615382492,90
143,2022-08-10,417,cling,37654,3312,0,4,20,34,27,13,2,8.795878259945821,91
142,2022-08-11,418,glean,37301,3243,0,6,23,37,24,8,1,8.69413688641055,92
141,2022-08-12,419,label,34198,3076,0,4,18,32,29,15,2,8.994678051348032,93
140,2022-08-13,420,hunky,35276,3185,0,1,11,33,25,22,7,9.028801451411725,94
139,2022-08-14,421,khaki,31652,2968,0,2,17,33,28,16,4,9.376974598761532,95
138,2022-08-15,422,poker,35376,3180,0,4,17,30,27,17,5,8.989145183175033,96
137,2022-08-16,423,gruel,35105,3087,0,3,19,39,29,9,1,8.793619142572282,97
136,2022-08-17,424,twice,35815,3173,1,6,28,38,21,6,1,8.859416445623342,98
135,2022-08-18,425,twang,34938,3172,0,3,22,43,25,7,1,9.078939836281414,99
134,2022-08-19,426,shrug,33965,2987,0,4,23,36,26,10,1,8.79434712203739,100
133,2022-08-20,427,treat,38245,3249,1,22,32,26,14,5,1,8.495228134396653,101
132,2022-08-21,428,waste,35617,3186,1,7,19,27,24,17,5,8.945166633910773,102
131,2022-08-22,429,merit,35888,3123,0,7,33,37,17,5,0,8.702073116362016,103
130,2022-08-23,430,woven,33549,2933,0,2,13,32,32,17,3,8.742436436257414,104
129,2022-08-24,431,needy,33700,2927,0,2,21,41,26,9,1,8.68545994065282,105
128,2022-08-25,432,clown,36737,3175,1,8,29,36,20,6,1,8.642512997795139,106
127,2022-08-26,433,irony,34716,3046,0,6,29,34,21,8,1,8.774052310173982,107
126,2022-08-27,434,ruder,31241,2784,0,2,16,33,29,16,4,8.911366473544382,108
125,2022-08-28,435,gauze,30214,2866,0,2,11,24,31,25,8,9.48566889521414,109
124,2022-08-29,436,chief,34281,3072,1,6,32,38,18,5,0,8.961232169423296,110
123,2022-08-30,437,onset,33660,3009,0,4,29,40,21,6,1,8.93939393939394,111
122,2022-08-31,438,prize,35343,3166,0,5,12,20,32,26,5,8.95792660498543,112
121,2022-09-01,439,fungi,31903,2928,0,2,18,41,28,9,1,9.177820267686425,113
120,2022-09-02,440,charm,35724,3149,1,12,32,34,16,5,1,8.81480237375434,114
119,2022-09-03,441,gully,31191,2877,0,1,9,27,31,25,7,9.223814561892855,115
118,2022-09-04,442,inter,32018,2889,0,6,25,36,23,8,1,9.023049534636767,116
117,2022-09-05,443,whoop,32733,2970,0,1,16,47,29,7,1,9.073412152873248,117
116,2022-09-06,444,taunt,32734,3022,0,4,19,27,21,16,13,9.231991201808517,118
115,2022-09-07,445,leery,30992,2873,0,3,17,37,28,12,2,9.270134228187919,119
114,2022-09-08,446,class,31962,3001,0,4,21,32,22,13,7,9.38927476378199,120
113,2022-09-09,447,theme,32172,2909,0,8,29,40,18,4,0,9.042024120353103,121
112,2022-09-10,448,lofty,29237,2777,0,4,19,34,27,13,3,9.498238533365257,122
111,2022-09-11,449,tibia,27887,2675,0,1,14,40,30,12,2,9.592283142682971,123
110,2022-09-12,450,booze,29147,2883,0,1,7,27,38,23,4,9.891240951041274,124
109,2022-09-13,451,alpha,29497,2706,0,3,19,40,28,9,1,9.173814286198596,125
108,2022-09-14,452,thyme,32142,2938,1,5,24,41,23,5,0,9.140688196129675,126
107,2022-09-15,453,doubt,33344,3011,1,12,32,34,16,4,0,9.030110364683301,127
106,2022-09-16,454,parer,37309,4130,0,0,4,11,15,22,48,11.06971508215176,128
105,2022-09-17,455,chute,33418,3073,0,11,37,36,12,3,0,9.19564306661081,129
104,2022-09-18,456,stick,33102,3038,1,9,36,35,14,4,0,9.177693190743762,130
103,2022-09-19,457,trice,35050,3430,0,5,24,25,18,17,11,9.78601997146933,131
102,2022-09-20,458,alike,31277,2843,0,6,20,33,27,12,2,9.089746459059372,132
101,2022-09-21,459,recap,31976,2900,0,5,30,35,21,8,1,9.069301976482363,133
100,2022-09-22,460,saint,34455,3119,1,14,35,29,15,5,1,9.052387171673198,134
99,2022-09-23,461,glory,31509,2893,0,6,30,39,19,5,0,9.18150369735631,135
98,2022-09-24,462,grate,32777,3077,1,14,29,28,16,8,3,9.38768038563627,136
97,2022-09-25,463,admit,28994,2677,0,10,25,34,22,8,1,9.232944747189073,137
96,2022-09-26,464,brisk,31706,2884,0,5,23,38,24,7,1,9.096070144452154,138
95,2022-09-27,465,soggy,30985,2888,0,2,18,38,28,11,2,9.320639018880103,139
94,2022-09-28,466,usurp,31355,3007,0,3,21,38,26,9,1,9.590177005262317,140
93,2022-09-29,467,scald,30477,2829,0,4,23,36,24,11,2,9.282409685992715,141
92,2022-09-30,468,scorn,31223,2859,0,8,31,35,20,6,1,9.156711398648431,142
91,2022-10-01,469,leave,28202,2696,0,4,16,34,31,12,1,9.559605701723282,143
90,2022-10-02,470,twine,30088,2775,0,6,28,40,20,5,1,9.222946024993353,144
89,2022-10-03,471,sting,32288,2969,1,10,30,33,18,8,2,9.195366699702676,145
88,2022-10-04,472,bough,32014,3060,0,3,17,35,28,13,3,9.55831823577185,146
87,2022-10-05,473,march,30935,2885,0,9,30,35,19,6,1,9.326006141910458,147
86,2022-10-06,474,sloth,32522,2987,1,10,38,34,13,3,0,9.184551995572228,148
85,2022-10-07,475,dandy,29026,2840,0,2,11,23,29,24,11,9.784331289189003,149
84,2022-10-08,476,vigor,26905,2642,0,2,15,35,31,14,2,9.819736108530012,150
83,2022-10-09,477,howdy,28408,2668,0,2,13,32,32,17,4,9.391720642072656,151
82,2022-10-10,478,enjoy,26878,2654,0,3,12,29,33,20,3,9.874246595728849,152
81,2022-10-11,479,valid,28575,2752,0,4,28,38,21,8,1,9.63079615048119,153
80,2022-10-12,480,ionic,29151,2947,0,2,13,25,28,21,11,10.109430208226133,154
79,2022-10-13,481,equal,27197,2677,0,5,23,35,25,11,2,9.842997389417949,155
78,2022-10-14,482,floor,28906,2752,0,3,23,44,24,6,0,9.52051477201965,156
77,2022-10-15,483,catch,30403,3123,0,7,18,20,15,16,23,10.272012630332533,157
76,2022-10-16,484,spade,30459,2854,1,8,29,36,19,6,1,9.36997275025444,158
75,2022-10-17,485,stein,31269,2965,1,12,34,32,16,5,1,9.482234801240844,159
74,2022-10-18,486,exist,28612,2805,0,5,24,38,23,8,1,9.80357891793653,160
73,2022-10-19,487,quirk,28322,2794,0,3,23,39,24,9,2,9.865122519596074,161
72,2022-10-20,488,denim,28741,2769,0,5,29,40,20,5,0,9.634320308966284,162
71,2022-10-21,489,grove,28637,2794,0,4,18,30,28,17,3,9.756608583301324,163
70,2022-10-22,490,spiel,29084,2810,0,7,32,36,19,6,1,9.661669646541053,164
69,2022-10-23,491,mummy,29279,3021,0,1,4,14,27,37,18,10.317975340687866,165
68,2022-10-24,492,fault,28947,2768,0,7,27,35,22,8,1,9.562303520226621,166
67,2022-10-25,493,foggy,28953,2817,0,2,13,35,32,15,3,9.72956170345042,167
66,2022-10-26,494,flout,30063,2904,0,6,28,37,21,7,1,9.659714599341383,168
65,2022-10-27,495,carry,27609,2615,0,4,22,35,24,12,3,9.471549132529248,169
64,2022-10-28,496,sneak,27905,2636,0,7,28,36,21,7,1,9.4463357821179,170
63,2022-10-29,497,libel,25156,2536,0,3,15,32,32,16,2,10.081093973604707,171
62,2022-10-30,498,waltz,24672,2496,0,2,11,29,35,19,3,10.116731517509727,172
61,2022-10-31,499,aptly,26498,2572,0,3,26,41,23,7,1,9.706392935315874,173
60,2022-11-01,500,piney,27502,3667,0,1,14,37,33,14,2,13.333575739946186,174
59,2022-11-02,501,inept,27670,2640,0,6,30,39,20,6,1,9.541019154318757,175
58,2022-11-03,502,aloud,29554,2819,1,18,31,30,15,4,1,9.538471949651486,176
57,2022-11-04,503,photo,27330,2565,0,5,34,43,15,3,0,9.38529088913282,177
56,2022-11-05,504,dream,29743,2751,5,14,31,29,15,4,1,9.249235114144504,178
55,2022-11-06,505,stale,31068,3013,2,19,30,27,15,6,2,9.698081627397965,179
54,2022-11-07,506,begin,26096,2439,0,6,26,36,23,7,1,9.346259963212752,180
53,2022-11-08,507,spell,27213,2531,0,4,24,37,24,9,1,9.300701870429574,181
52,2022-11-09,508,rainy,28984,2678,1,16,38,31,11,3,1,9.239580458183825,182
51,2022-11-10,509,unite,27467,2575,1,11,31,33,18,5,1,9.374886227108895,183
50,2022-11-11,510,medal,25993,2438,0,5,25,38,23,8,1,9.379448313007348,184
49,2022-11-12,511,valet,24660,2356,0,4,22,38,25,9,1,9.553933495539335,185
48,2022-11-13,512,inane,25085,2515,0,8,25,30,21,13,3,10.025911899541558,186
47,2022-11-14,513,maple,26536,2467,1,6,26,36,21,8,1,9.296804341272233,187
46,2022-11-15,514,snarl,27475,2650,0,5,21,31,24,15,4,9.64513193812557,188
45,2022-11-16,515,baker,25576,2541,0,5,16,23,24,22,10,9.935095401939318,189
44,2022-11-17,516,there,27465,2530,0,14,35,33,14,4,0,9.211724012379392,190
43,2022-11-18,517,glyph,29208,2899,0,2,23,49,20,5,1,9.925362914270062,191
42,2022-11-19,518,avert,24749,2400,0,7,26,35,22,9,1,9.697361509555941,192
41,2022-11-20,519,brave,24991,2396,1,6,17,27,27,18,5,9.587451482533712,193
40,2022-11-21,520,axiom,24288,2382,0,5,19,33,27,13,3,9.807312252964428,194
39,2022-11-22,521,prime,27437,2534,1,10,26,32,21,9,1,9.235703611910923,195
38,2022-11-23,522,drive,26663,2451,1,12,32,30,18,6,1,9.192513970670966,196
37,2022-11-24,523,feast,27705,2725,5,13,25,27,19,10,2,9.835769716657643,197
36,2022-11-25,524,itchy,24197,2329,0,8,28,40,18,5,1,9.625160143819482,198
35,2022-11-26,525,clean,26381,2424,1,17,36,31,12,3,0,9.188431067813957,199
34,2022-11-27,526,happy,25206,2356,0,6,28,39,19,6,1,9.346980877568834,200
33,2022-11-28,527,tepid,26051,2484,0,10,38,35,13,3,0,9.535142604890408,201
32,2022-11-29,528,undue,23739,2316,0,3,19,35,29,13,2,9.75609756097561,202
31,2022-11-30,529,study,25690,2405,0,6,30,33,19,10,2,9.361619307123394,203
30,2022-12-01,530,eject,22628,2200,0,2,11,35,36,14,2,9.72246773908432,204
29,2022-12-02,531,chafe,24646,2343,0,6,30,33,19,9,2,9.506613649273715,205
28,2022-12-03,532,torso,23873,2260,0,4,35,36,17,6,1,9.466761613538306,206
27,2022-12-04,533,adore,25577,2398,2,17,32,29,15,5,1,9.375610900418344,207
26,2022-12-05,534,woken,23153,2200,0,2,10,25,36,23,4,9.502008379043753,208
25,2022-12-06,535,amber,23509,2261,0,6,22,33,24,12,3,9.61759326215492,209
24,2022-12-07,536,joust,24899,2388,0,6,29,34,21,8,2,9.590746616329973,210
23,2022-12-08,537,infer,21199,1863,0,3,19,33,26,14,3,8.788150384452097,211
22,2022-12-09,538,braid,23640,2165,0,10,36,35,14,3,0,9.158206429780034,212
21,2022-12-10,539,knock,21157,2041,0,3,18,43,27,8,1,9.646925367490665,213
20,2022-12-11,540,naïve,21947,2075,1,7,24,32,24,11,1,9.45459516106985,214
19,2022-12-12,541,apply,22873,2150,0,5,28,38,22,7,1,9.399728938049229,215
18,2022-12-13,542,spoke,24101,2224,0,6,31,38,19,5,0,9.227832870005393,216
17,2022-12-14,543,usual,20824,2048,0,3,20,39,27,10,1,9.834805993084903,217
16,2022-12-15,544,rival,22176,2127,0,7,27,35,22,8,1,9.591450216450216,218
15,2022-12-16,545,probe,22853,2160,0,6,24,32,24,11,3,9.451713123003543,219
14,2022-12-17,546,chord,22336,2088,0,7,39,38,13,3,0,9.348137535816619,220
13,2022-12-18,547,taper,22166,2108,0,8,28,30,20,11,3,9.510060452945954,221
12,2022-12-19,548,slate,26010,2422,6,14,33,27,13,5,1,9.311803152633601,222
11,2022-12-20,549,third,24137,2261,1,10,47,32,9,2,0,9.367361312507768,223
10,2022-12-21,550,lunar,22180,2036,0,5,32,40,17,4,0,9.179440937781786,224
9,2022-12-22,551,excel,20490,2034,0,1,13,34,34,15,2,9.92679355783309,225
8,2022-12-23,552,aorta,21937,2112,0,7,26,35,20,10,3,9.627569859142088,226
7,2022-12-24,553,poise,20281,1911,2,11,34,32,15,6,1,9.422612297224003,227
6,2022-12-25,554,extra,15554,1562,1,5,20,35,28,10,1,10.042432814710041,228
5,2022-12-26,555,judge,20011,2043,0,2,8,16,26,33,14,10.209384838338915,229
4,2022-12-27,556,condo,20879,2012,0,2,17,35,29,14,3,9.636476842760668,230
3,2022-12-28,557,impel,20160,1937,0,3,21,40,25,9,1,9.608134920634921,231
2,2022-12-29,558,havoc,20001,1919,0,2,16,38,30,12,2,9.594520273986301,232
1,2022-12-30,559,molar,21204,1973,0,4,21,38,26,9,1,9.304848141860028,233
0,2022-12-31,560,manly,20380,1899,0,2,17,37,29,12,2,9.317958783120707,234
